source_record_id,scientific_name,common_name,normalized_scientific,normalized_common
"openfarm:fritillaria-striata:striped-abobe-lily:39481","Fritillaria striata","striped abobe lily","fritillaria striata","striped abobe lily"
"openfarm:polygonum-tinctorium:dyers-knotweed:71818","Polygonum tinctorium","dyers knotweed","polygonum tinctorium","dyers knotweed"
"openfarm:boscia-filipes:unknown:12663","Boscia filipes","","boscia filipes",""
"openfarm:rubus-ulmifolius-ulmifolius:elmleaf-blackberry:77942","Rubus ulmifolius var. ulmifolius","elmleaf blackberry","rubus ulmifolius","elmleaf blackberry"
"openfarm:zyrphelis-lasiocarpa:unknown:95825","Zyrphelis lasiocarpa","","zyrphelis lasiocarpa",""
"openfarm:cerastium-fontanum-vulgare:big-chickweed-common-mouse-ear-chickweed:18090","Cerastium fontanum ssp. vulgare","big chickweed, common mouse-ear chickweed","cerastium fontanum","big chickweed mouse ear chickweed"
"openfarm:mallomonas-acaroides:unknown:55672","Mallomonas acaroides","","mallomonas acaroides",""
"openfarm:sambucus-glauca:blue-elder-blueberry-elder-sabugueiro-azul:79472","Sambucus glauca","blue elder, blueberry elder, sabugueiro azul","sambucus glauca","blue elder blueberry elder sabugueiro azul"
"openfarm:euastrum-sinuosum-reductum:unknown:36319","Euastrum sinuosum var. reductum","","euastrum sinuosum",""
"openfarm:quercus-pseudomargarettiae:unknown:75060","Quercus X pseudomargarettiae","","quercus pseudomargarettiae",""
"openfarm:solanum-citrullifolium:watermelon-nightshade:83513","Solanum citrullifolium","watermelon nightshade","solanum citrullifolium","watermelon nightshade"
"openfarm:nama-havardii:havard-fiddleleaf:59990","Nama havardii","Havard's fiddleleaf","nama havardii","havard fiddleleaf"
"openfarm:tibouchina:unknown:90035","Tibouchina","","tibouchina",""
"openfarm:muraltia-serpylloides:unknown:59489","Muraltia serpylloides","","muraltia serpylloides",""
"openfarm:lophozia-obtusa:unknown:54046","Lophozia obtusa","","lophozia obtusa",""
"openfarm:cycas-gracilis:unknown:26280","Cycas gracilis","","cycas gracilis",""
"openfarm:cereus-eriophorus:unknown:18357","Cereus eriophorus","","cereus eriophorus",""
"openfarm:anthochortus-laxiflorus:unknown:6513","Anthochortus laxiflorus","","anthochortus laxiflorus",""
"openfarm:thalassiosira-rudolfii:unknown:89222","Thalassiosira rudolfii","","thalassiosira rudolfii",""
"openfarm:luzula-piperi:piper-woodrush-smooth-woodrush:54880","Luzula piperi","Piper's woodrush, smooth woodrush","luzula piperi","piper woodrush smooth woodrush"
"openfarm:bryum-tenuisetum:bryum-moss:13920","Bryum tenuisetum","bryum moss","bryum tenuisetum","bryum moss"
"openfarm:koeleria-vurilochensis:unknown:49749","Koeleria vurilochensis","","koeleria vurilochensis",""
"openfarm:scutellaria-galericulata:unknown:81179","Scutellaria galericulata","","scutellaria galericulata",""
"openfarm:distictis-lactiflora:liana-fragante-wooly-panicum:30597","Distictis lactiflora","liana fragante, wooly panicum","distictis lactiflora","liana fragante wooly panicum"
"openfarm:acmadenia-tetracarpellata:unknown:1684","Acmadenia tetracarpellata","","acmadenia tetracarpellata",""
"openfarm:tetragonia-robusta-psiloptera:unknown:88926","Tetragonia robusta var. psiloptera","","tetragonia robusta",""
"openfarm:cannabis-sativa:unknown:15554","Cannabis sativa","","cannabis sativa",""
"openfarm:euphorbia-didiereoides:unknown:37202","Euphorbia didiereoides","","euphorbia didiereoides",""
"openfarm:senecio-incognitus:unknown:81962","Senecio incognitus","","senecio incognitus",""
"openfarm:phaeoceros-hallii:hall-phaeoceros:67829","Phaeoceros hallii","Hall's phaeoceros","phaeoceros hallii","hall phaeoceros"
"openfarm:cardiospermum-corindum:unknown:15865","Cardiospermum corindum","","cardiospermum corindum",""
"openfarm:zamia-inermis:unknown:95382","Zamia inermis","","zamia inermis",""
"openfarm:hordeum-marinum:unknown:45972","Hordeum marinum","","hordeum marinum",""
"openfarm:picea:spruce:69141","Picea","spruce","picea","spruce"
"openfarm:sonchus-asper:spiny-leaved-sow-thistle:84033","Sonchus asper","Spiny-leaved sow thistle","sonchus asper","spiny leaved sow thistle"
"openfarm:adiantum-oaxacanum:unknown:2199","Adiantum oaxacanum","","adiantum oaxacanum",""
"openfarm:watermelon:unknown:94492","Watermelon","","watermelon",""
"openfarm:nephrolesis-hirsutula:unknown:61074","Nephrolesis hirsutula","","nephrolesis hirsutula",""
"openfarm:holothri-micrantha:unknown:45809","Holothrix micrantha","","holothri micrantha",""
"openfarm:citrus-karna:unknown:20733","Citrus karna","","citrus karna",""
"openfarm:riccia-trachyglossum:unknown:76999","Riccia trachyglossum","","riccia trachyglossum",""
"openfarm:lewisia-nevadensis:nevada-bitter-root-nevada-lewisia-nevada-bitterroot:52271","Lewisia nevadensis","Nevada bitter-root, Nevada lewisia, Nevada bitterroot","lewisia nevadensis","nevada bitter root nevada lewisia nevada bitterroot"
"openfarm:aeollanthus-namibiensis:unknown:2364","Aeollanthus namibiensis","","aeollanthus namibiensis",""
"openfarm:vaccaria-hispanica:spanish-soapwort-cow-cockle-cow-herb-saponaria-espanha:92628","Vaccaria hispanica","Spanish soapwort, cow-cockle, Cow-herb, saponaria de Espanha","vaccaria hispanica","spanish soapwort cow cockle cow herb saponaria espanha"
"openfarm:erica-amoena:unknown:33628","Erica amoena","","erica amoena",""
"openfarm:asparagus-retrofractus:unknown:9247","Asparagus retrofractus","","asparagus retrofractus",""
"openfarm:serruria-foeniculacea:unknown:82355","Serruria foeniculacea","","serruria foeniculacea",""
"openfarm:hordeum-pusillum:unknown:45995","Hordeum pusillum","","hordeum pusillum",""
"openfarm:physocarpus-malvaceus:mallow-ninebark:69057","Physocarpus malvaceus","mallow ninebark","physocarpus malvaceus","mallow ninebark"
"openfarm:combretum-bracteosum:hiccup-nut-hiccough-nut-hikklimop:22320","Combretum bracteosum","Hiccup nut, hiccough nut, hikklimop","combretum bracteosum","hiccup nut hiccough nut hikklimop"
"openfarm:cerastium-regelii:regel-chickweed:18107","Cerastium regelii","Regel's chickweed","cerastium regelii","regel chickweed"
"openfarm:coccoloba-rugosa:ortegon:21812","Coccoloba rugosa","ortegon","coccoloba rugosa","ortegon"
"openfarm:dierama-dissimile:unknown:29426","Dierama dissimile","","dierama dissimile",""
"openfarm:piptochaetium-pringlei:pringle-speargrass-pringle-speargrass-pringle-spear-grass-pringle-needlegrass:69782","Piptochaetium pringlei","Pringle speargrass, Pringle's speargrass, Pringle's spear grass, pringle needlegrass","piptochaetium pringlei","pringle speargrass pringle speargrass pringle spear grass pringle needlegrass"
"openfarm:puccinellia-hultenii:hulten-alkaligrass:74310","Puccinellia hultenii","Hulten's alkaligrass","puccinellia hultenii","hulten alkaligrass"
